2025-05-22 16:59:05 | INFO |MainProcess | MainThread |  __main__ : main:62 | ----------------------------------------main_start----------------------------------------
2025-05-22 16:59:05 | INFO |MainProcess | MainThread |  __main__ : main:70 | p_comm子进程开始运行
2025-05-22 16:59:05 | INFO |MainProcess | MainThread |  __main__ : main:78 | p_deep_camera子进程开始运行
2025-05-22 16:59:05 | INFO |MainProcess | MainThread |  __main__ : main:85 | p_infrared_camera子进程开始运行
2025-05-22 16:59:05 | INFO |MainProcess | MainThread |  __main__ : main:92 | p_gui子进程开始运行
2025-05-22 16:59:14 | ERROR |MainProcess | MainThread |  __main__ : main:103 | p_gui子进程已停止，同步终止p_comm子进程
2025-05-22 16:59:15 | ERROR |MainProcess | MainThread |  __main__ : main:107 | 终止p_comm子进程
2025-05-22 16:59:35 | INFO |MainProcess | MainThread |  __main__ : main:62 | ----------------------------------------main_start----------------------------------------
2025-05-22 16:59:35 | INFO |MainProcess | MainThread |  __main__ : main:70 | p_comm子进程开始运行
2025-05-22 16:59:35 | INFO |MainProcess | MainThread |  __main__ : main:78 | p_deep_camera子进程开始运行
2025-05-22 16:59:35 | INFO |MainProcess | MainThread |  __main__ : main:85 | p_infrared_camera子进程开始运行
2025-05-22 16:59:35 | INFO |MainProcess | MainThread |  __main__ : main:92 | p_gui子进程开始运行
2025-05-22 17:00:16 | ERROR |MainProcess | MainThread |  __main__ : main:103 | p_gui子进程已停止，同步终止p_comm子进程
2025-05-22 17:00:17 | ERROR |MainProcess | MainThread |  __main__ : main:107 | 终止p_comm子进程
2025-05-22 17:00:42 | INFO |MainProcess | MainThread |  __main__ : main:62 | ----------------------------------------main_start----------------------------------------
2025-05-22 17:00:42 | INFO |MainProcess | MainThread |  __main__ : main:70 | p_comm子进程开始运行
2025-05-22 17:00:42 | INFO |MainProcess | MainThread |  __main__ : main:78 | p_deep_camera子进程开始运行
2025-05-22 17:00:42 | INFO |MainProcess | MainThread |  __main__ : main:85 | p_infrared_camera子进程开始运行
2025-05-22 17:00:42 | INFO |MainProcess | MainThread |  __main__ : main:92 | p_gui子进程开始运行
2025-05-22 17:01:30 | ERROR |MainProcess | MainThread |  __main__ : main:103 | p_gui子进程已停止，同步终止p_comm子进程
2025-05-22 17:01:30 | ERROR |MainProcess | MainThread |  __main__ : main:107 | 终止p_comm子进程
2025-05-22 17:03:33 | INFO |MainProcess | MainThread |  __main__ : main:62 | ----------------------------------------main_start----------------------------------------
2025-05-22 17:03:33 | INFO |MainProcess | MainThread |  __main__ : main:70 | p_comm子进程开始运行
2025-05-22 17:03:33 | INFO |MainProcess | MainThread |  __main__ : main:78 | p_deep_camera子进程开始运行
2025-05-22 17:03:33 | INFO |MainProcess | MainThread |  __main__ : main:85 | p_infrared_camera子进程开始运行
2025-05-22 17:03:33 | INFO |MainProcess | MainThread |  __main__ : main:92 | p_gui子进程开始运行
2025-05-22 17:04:22 | ERROR |MainProcess | MainThread |  __main__ : main:103 | p_gui子进程已停止，同步终止p_comm子进程
2025-05-22 17:06:38 | INFO |MainProcess | MainThread |  __main__ : main:62 | ----------------------------------------main_start----------------------------------------
2025-05-22 17:06:38 | INFO |MainProcess | MainThread |  __main__ : main:70 | p_comm子进程开始运行
2025-05-22 17:06:38 | INFO |MainProcess | MainThread |  __main__ : main:79 | p_deep_camera子进程开始运行
2025-05-22 17:06:38 | INFO |MainProcess | MainThread |  __main__ : main:87 | p_infrared_camera子进程开始运行
2025-05-22 17:06:38 | INFO |MainProcess | MainThread |  __main__ : main:95 | p_gui子进程开始运行
2025-05-22 17:15:35 | INFO |MainProcess | MainThread |  __main__ : main:62 | ----------------------------------------main_start----------------------------------------
2025-05-22 17:15:35 | INFO |MainProcess | MainThread |  __main__ : main:70 | p_comm子进程开始运行
2025-05-22 17:15:35 | INFO |MainProcess | MainThread |  __main__ : main:79 | p_deep_camera子进程开始运行
2025-05-22 17:15:35 | INFO |MainProcess | MainThread |  __main__ : main:87 | p_infrared_camera子进程开始运行
2025-05-22 17:15:35 | INFO |MainProcess | MainThread |  __main__ : main:95 | p_gui子进程开始运行
2025-05-22 17:16:14 | ERROR |MainProcess | MainThread |  __main__ : main:107 | p_gui子进程已停止，同步终止p_comm子进程
2025-05-22 17:16:55 | INFO |MainProcess | MainThread |  __main__ : main:63 | ----------------------------------------main_start----------------------------------------
2025-05-22 17:16:55 | INFO |MainProcess | MainThread |  __main__ : main:71 | p_comm子进程开始运行
2025-05-22 17:16:55 | INFO |MainProcess | MainThread |  __main__ : main:80 | p_deep_camera子进程开始运行
2025-05-22 17:16:55 | INFO |MainProcess | MainThread |  __main__ : main:88 | p_infrared_camera子进程开始运行
2025-05-22 17:16:55 | INFO |MainProcess | MainThread |  __main__ : main:96 | p_gui子进程开始运行
2025-05-22 17:17:09 | ERROR |MainProcess | MainThread |  __main__ : main:108 | p_gui子进程已停止，同步终止p_comm子进程
2025-05-22 17:18:20 | INFO |MainProcess | MainThread |  __main__ : main:63 | ----------------------------------------main_start----------------------------------------
2025-05-22 17:18:20 | INFO |MainProcess | MainThread |  __main__ : main:71 | p_comm子进程开始运行
2025-05-22 17:18:20 | INFO |MainProcess | MainThread |  __main__ : main:80 | p_deep_camera子进程开始运行
2025-05-22 17:18:20 | INFO |MainProcess | MainThread |  __main__ : main:88 | p_infrared_camera子进程开始运行
2025-05-22 17:18:20 | INFO |MainProcess | MainThread |  __main__ : main:96 | p_gui子进程开始运行
2025-05-22 17:18:32 | ERROR |MainProcess | MainThread |  __main__ : main:108 | p_gui子进程已停止，同步终止p_comm子进程
2025-05-22 17:18:32 | ERROR |MainProcess | MainThread |  __main__ : main:111 | 终止p_deep_camera子进程
2025-05-22 17:18:32 | ERROR |MainProcess | MainThread |  __main__ : main:116 | 终止p_infrared_camera子进程
2025-05-22 17:18:32 | ERROR |MainProcess | MainThread |  __main__ : main:122 | 终止p_comm子进程
2025-05-22 17:18:50 | INFO |MainProcess | MainThread |  __main__ : main:63 | ----------------------------------------main_start----------------------------------------
2025-05-22 17:18:50 | INFO |MainProcess | MainThread |  __main__ : main:71 | p_comm子进程开始运行
2025-05-22 17:18:50 | INFO |MainProcess | MainThread |  __main__ : main:80 | p_deep_camera子进程开始运行
2025-05-22 17:18:50 | INFO |MainProcess | MainThread |  __main__ : main:88 | p_infrared_camera子进程开始运行
2025-05-22 17:18:50 | INFO |MainProcess | MainThread |  __main__ : main:96 | p_gui子进程开始运行
2025-05-22 17:20:22 | INFO |MainProcess | MainThread |  __main__ : main:63 | ----------------------------------------main_start----------------------------------------
2025-05-22 17:20:22 | INFO |MainProcess | MainThread |  __main__ : main:71 | p_comm子进程开始运行
2025-05-22 17:20:22 | INFO |MainProcess | MainThread |  __main__ : main:80 | p_deep_camera子进程开始运行
2025-05-22 17:20:23 | INFO |MainProcess | MainThread |  __main__ : main:88 | p_infrared_camera子进程开始运行
